,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
7055,000880,KOSPI,한화,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"금춘수, 옥경석, 김승모, 김맹윤",http://www.hanwhacorp.co.kr,서울특별시
7056,00088K,KOSPI,한화3우B,,,,,,,
7057,72801BB4,KOSPI,한화국민참여정책형뉴딜 A,,,,,,,
7058,72802BB4,KOSPI,한화국민참여정책형뉴딜 C,,,,,,,
7059,088350,KOSPI,한화생명,보험업,생명보험,2010-03-17,12월,여승주,http://www.hanwhalife.com,서울특별시
7060,000370,KOSPI,한화손해보험,보험업,손해보험,1975-06-30,12월,강성수,http://www.hwgeneralins.com/,서울특별시
7061,009830,KOSPI,한화솔루션,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,"이구영, 김희철, 류두형, 김동관, 김은수",http://hcc.hanwha.co.kr,서울특별시
7062,009835,KOSPI,한화솔루션우,,,,,,,
7063,272210,KOSPI,한화시스템,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13,12월,김연철,http://hanwhasystems.com,경상북도
7064,317320,KOSDAQ,한화에스비아이스팩,금융 지원 서비스업,기업인수합병,2019-05-03,12월,이준효,,서울특별시
7065,012450,KOSPI,한화에어로스페이스,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1987-05-27,12월,Shin Hyun Woo,http://www.hanwhaaerospace.co.kr/,경상남도
7066,000885,KOSPI,한화우,,,,,,,
7067,003530,KOSPI,한화투자증권,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",1986-11-25,12월,권희백,http://www.koreastock.co.kr,서울특별시
7068,003535,KOSPI,한화투자증권우,,,,,,,
7069,340440,KOSDAQ,한화플러스제1호스팩,금융 지원 서비스업,기업인수,2019-12-27,12월,김양주,,서울특별시
7070,195870,KOSPI,해성디에스,전자부품 제조업,반도체 패키지용 Substrate,2016-06-24,12월,조병학,http://www.haesungds.com,경상남도
7071,034810,KOSDAQ,해성산업,기타 금융업,시설관리 용역 및 부동산 임대,1999-04-16,12월,정한수,http://www.haesungind.co.kr,서울특별시
7072,076610,KOSDAQ,해성옵틱스,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈,2013-11-06,12월,"이을성, 이재선(각자대표이사)",http://www.hso.co.kr,경기도
7073,07661219,KOSDAQ,해성옵틱스 6WR,,,,,,,
7074,059270,KOSDAQ,해성티피씨,기타 금속 가공제품 제조업,기어 및 동력전달장치,2021-04-21,12월,이건복,http://www.haisung.co.kr,인천광역시
7075,101530,KOSPI,해태제과식품,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,신정훈,http://www.ht.co.kr,충청남도
7076,220180,KOSDAQ,핸디소프트,소프트웨어 개발 및 공급업,"EKP, BPM, 네트워크장비",2016-11-24,12월,이준희,http://www.handysoft.co.kr,경기도
7077,143210,KOSPI,핸즈코퍼레이션,자동차 신품 부품 제조업,자동차 알루미늄 휠,2016-12-02,12월,승현창,http://www.handscorp.co.kr,인천광역시
7078,900270,KOSDAQ,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,2016-08-18,12월,후이만킷,,홍콩
7079,084990,KOSDAQ,헬릭스미스,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료",2005-12-29,12월,"김선영, 유승신(각자 대표이사)",http://www.viromed.co.kr,서울특별시
7080,000720,KOSPI,현대건설,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",1984-12-22,12월,윤영준,http://www.hdec.kr,서울특별시
